waveobs,flux,err
4715.3758659898585,0.7893781065940857,0.0011391591979190707
4715.421882198426,0.7809595465660095,0.001133142039179802
4715.467898407,0.7713562846183777,0.0011255515273660421
4715.513914615582,0.7547415494918823,0.001113502075895667
4715.559930824172,0.709171712398529,0.0010802531614899635
4715.60594703277,0.6309642195701599,0.0010192295303568244
4715.651963241375,0.5569588541984558,0.0009576304000802338
4715.697979449988,0.5089595913887024,0.0009151662816293538
4715.74399565861,0.5134952664375305,0.0009198931511491537
4715.790011867239,0.5704758167266846,0.0009697405039332807
4715.836028075876,0.6584115624427795,0.0010401735780760646
4715.882044284523,0.757105827331543,0.0011143144220113754
4715.928060493175,0.8333996534347534,0.0011691052932292223
4715.974076701835,0.8770372867584229,0.0011989508057013154
4716.020092910505,0.8958540558815002,0.0012114373967051506
4716.066109119181,0.9008997678756714,0.0012153536081314087
4716.112125327865,0.9019870758056641,0.0012166120577603579
4716.158141536557,0.910702109336853,0.0012230121064931154
4716.204157745257,0.9082724452018738,0.001220927108079195
4716.250173953965,0.9042229652404785,0.0012168890098109841
4716.296190162682,0.9103345274925232,0.0012173705035820603
4716.342206371404,0.9243147969245911,0.0012272498570382595
4716.388222580138,0.9311181306838989,0.0012343444395810366
4716.434238788877,0.9304395318031311,0.0012343073030933738
4716.480254997625,0.9352775812149048,0.0012375550577417016
4716.52627120638,0.9399000406265259,0.001240941695868969
4716.5722874151425,0.9414069056510925,0.0012422471772879362
4716.618303623914,0.9625482559204102,0.0012550139799714088
4716.664319832693,0.973946750164032,0.0012618792243301868
4716.71033604148,0.9821698665618896,0.0012676588958129287
4716.756352250275,0.9912466406822205,0.001274057780392468
4716.802368459077,0.9846293926239014,0.001269445288926363
4716.848384667888,0.9652673006057739,0.0012596272863447666
4716.894400876706,0.9225418567657471,0.0012283527757972479
4716.940417085532,0.8593020439147949,0.0011865190463140607
4716.986433294367,0.7782464027404785,0.0011295136064291
4717.032449503208,0.7154057025909424,0.001082932692952454
4717.0784657120585,0.6970558762550354,0.0010679805418476462
4717.124481920917,0.7248545289039612,0.001089364057406783
4717.170498129781,0.7868070006370544,0.0011388411512598395
4717.2165143386555,0.8526453971862793,0.0011796638136729598
4717.262530547538,0.9204930067062378,0.0012256639311090112
4717.308546756426,0.9569969773292542,0.001249683671630919
4717.354562965323,0.9786968231201172,0.001264310092665255
4717.400579174229,0.9977496266365051,0.0012772360350936651
4717.44659538314,1.006221890449524,0.0012827202444896102
4717.492611592061,1.0048905611038208,0.0012813593493774533
4717.538627800991,1.0079540014266968,0.0012830671621486545
4717.584644009928,1.0163085460662842,0.0012910329969599843
4717.6306602188715,1.013594388961792,0.001286200829781592
4717.676676427824,1.0110585689544678,0.0012843162985518575
4717.722692636784,1.0078481435775757,0.0012828721664845943
4717.768708845752,1.0053107738494873,0.0012808118481189013
4717.814725054727,1.0054471492767334,0.0012799310497939587
4717.86074126371,1.0114110708236694,0.001283189281821251
4717.906757472702,1.00983464717865,0.0012831229250878096
4717.952773681703,1.0064281225204468,0.0012813745997846127
4717.998789890708,1.008040428161621,0.0012814524816349149
4718.044806099724,1.0004537105560303,0.0012771541951224208
4718.090822308748,0.9930275678634644,0.001272908179089427
4718.136838517778,0.98700350522995,0.0012684189714491367
4718.182854726817,0.9844239354133606,0.0012657869374379516
4718.2288709358645,0.988372802734375,0.0012679776409640908
4718.2748871449185,0.9942811727523804,0.0012717652134597301
4718.3209033539815,0.9915477633476257,0.0012698897626250982
4718.366919563052,0.9900474548339844,0.001269621541723609
4718.4129357721295,0.9831240773200989,0.001265543745830655
4718.458951981215,0.9703968167304993,0.0012564599746838212
4718.504968190309,0.9662681818008423,0.0012531612301245332
4718.550984399411,0.9683550596237183,0.0012554745189845562
4718.59700060852,0.9579582214355469,0.001248322194442153
4718.6430168176375,0.9576289057731628,0.0012473459355533123
4718.689033026763,0.9631237983703613,0.0012514392146840692
4718.7350492358955,0.9478405714035034,0.0012418720871210098
4718.781065445039,0.9203226566314697,0.0012223205994814634
4718.827081654187,0.8918845057487488,0.001203799620270729
4718.873097863343,0.8686022162437439,0.0011892730835825205
4718.919114072508,0.8597481846809387,0.0011834332253783941
4718.965130281681,0.8784657120704651,0.001195552060380578
4719.011146490861,0.9192737340927124,0.0012223515659570694
4719.05716270005,0.9404261708259583,0.0012363838031888008
4719.103178909245,0.9462210536003113,0.0012401967542245984
4719.149195118448,0.9542033076286316,0.001245435792952776
4719.19521132766,0.9646326303482056,0.0012518580770120025
4719.241227536881,0.9701892137527466,0.0012545878998935223
4719.287243746107,0.9796709418296814,0.0012610744452103972
4719.333259955343,0.9915339946746826,0.0012671264121308923
4719.379276164587,1.0027096271514893,0.00127407256513834
4719.425292373838,1.007251501083374,0.0012784310383722186
4719.471308583097,0.9991592764854431,0.0012730818707495928
4719.517324792364,0.9767179489135742,0.0012581537012010813
4719.563341001639,0.9351807236671448,0.001231495407409966
4719.609357210921,0.8724256753921509,0.0011893217451870441
4719.655373420212,0.8038552403450012,0.0011416164925321937
4719.701389629509,0.7584406137466431,0.0011096650268882513
4719.747405838816,0.755852460861206,0.001107284682802856
4719.79342204813,0.7886582612991333,0.001130633638240397
4719.839438257451,0.8498196601867676,0.0011738737812265754
4719.885454466781,0.908038854598999,0.0012132965493947268
4719.93147067612,0.9436364769935608,0.0012365846196189523
4719.977486885463,0.9647446870803833,0.0012507091742008924
4720.023503094817,0.9763320684432983,0.0012579684844240546
4720.069519304179,0.9964087605476379,0.0012709437869489193
4720.115535513547,1.0066121816635132,0.0012772849295288324
